HJD UT_Date Camera FWHM Limit mag mag_err flux(mJy) flux_err Filter
2457297.80837 2015-10-02.3054822 bg 1.33 15.852 13.118 0.018 21.703 0.354 V
2457300.63736 2015-10-05.1344246 bg 1.51 12.242 11.335 0.095 112.171 9.761 V
2457300.63894 2015-10-05.1360116 bg 1.56 12.162 11.450 0.114 100.896 10.490 V
2457300.64029 2015-10-05.1373623 bg 1.51 11.977 11.339 0.122 111.787 12.468 V
2457302.66475 2015-10-07.1617954 bg 1.40 15.891 13.077 0.016 22.542 0.340 V
2457302.66604 2015-10-07.1630799 bg 1.41 15.937 13.019 0.015 23.790 0.327 V
2457306.66936 2015-10-11.1663673 bg 1.42 15.926 13.065 0.016 22.800 0.331 V
2457306.67065 2015-10-11.1676516 bg 1.42 15.943 13.063 0.015 22.859 0.325 V
2457306.67194 2015-10-11.1689385 bg 1.41 15.985 13.099 0.015 22.085 0.312 V
2457311.68481 2015-10-16.1817795 bg 1.53 15.838 12.993 0.016 24.359 0.359 V
2457311.68617 2015-10-16.1831442 bg 1.53 15.924 12.961 0.014 25.089 0.333 V
2457311.68755 2015-10-16.1845240 bg 1.56 15.872 12.991 0.015 24.394 0.350 V
2457315.59668 2015-10-20.0936444 bg 1.58 15.773 12.952 0.016 25.304 0.380 V
2457315.59828 2015-10-20.0952450 bg 1.66 15.822 12.970 0.016 24.873 0.364 V
2457318.57437 2015-10-23.0713410 bg 1.76 15.514 12.919 0.020 26.069 0.483 V
2457318.57531 2015-10-23.0722785 bg 1.70 15.366 12.863 0.022 27.468 0.552 V
2457318.57625 2015-10-23.0732170 bg 1.63 15.511 12.938 0.020 25.631 0.487 V
2457318.74882 2015-10-23.2457921 bg 1.42 15.849 12.916 0.015 26.146 0.356 V
2457318.75011 2015-10-23.2470771 bg 1.43 15.842 12.898 0.015 26.597 0.359 V
2457318.75138 2015-10-23.2483503 bg 1.40 15.795 12.914 0.015 26.192 0.373 V
2457319.57588 2015-10-24.0728473 bg 1.54 15.770 13.036 0.018 23.415 0.382 V
2457319.57716 2015-10-24.0741353 bg 1.46 15.588 12.931 0.019 25.794 0.451 V
2457319.57847 2015-10-24.0754383 bg 1.48 15.627 12.951 0.019 25.308 0.435 V
2457323.78175 2015-10-28.2787395 bg 2.03 12.741 11.653 0.085 83.644 6.436 V
2457323.78303 2015-10-28.2800216 bg 2.07 13.378 11.625 0.046 85.834 3.547 V
2457323.78431 2015-10-28.2813107 bg 1.71 14.048 12.012 0.036 60.087 1.963 V
2457325.86251 2015-10-30.3595334 bg 1.39 15.486 13.010 0.023 23.983 0.511 V
2457325.86381 2015-10-30.3608192 bg 1.48 15.623 13.111 0.023 21.848 0.446 V
2457325.86509 2015-10-30.3621060 bg 1.39 15.504 13.081 0.025 22.466 0.496 V
2457327.55795 2015-11-01.0549763 bg 1.48 15.923 12.931 0.014 25.785 0.337 V
2457327.55924 2015-11-01.0562663 bg 1.53 15.823 12.857 0.014 27.609 0.370 V
2457327.56052 2015-11-01.0575480 bg 1.55 15.860 12.989 0.016 24.448 0.358 V
2457332.77162 2015-11-06.2687182 bg 1.40 15.925 13.020 0.015 23.765 0.336 V
2457332.77294 2015-11-06.2700347 bg 1.38 15.918 13.106 0.016 21.951 0.334 V
2457332.77432 2015-11-06.2714339 bg 1.42 15.949 13.056 0.015 22.977 0.327 V
2457336.74823 2015-11-10.2453906 bg 1.43 15.866 12.927 0.015 25.886 0.352 V
2457336.74951 2015-11-10.2466774 bg 1.41 15.912 12.920 0.014 26.040 0.337 V
2457336.75079 2015-11-10.2479510 bg 1.46 15.834 12.930 0.015 25.827 0.364 V
2457338.51178 2015-11-12.0089847 bg 1.62 15.728 12.916 0.016 26.170 0.399 V
2457338.51308 2015-11-12.0102788 bg 1.65 15.695 12.883 0.016 26.960 0.414 V
2457338.51438 2015-11-12.0115761 bg 1.73 15.862 12.935 0.015 25.700 0.354 V
2457339.82181 2015-11-13.3190380 bg 1.47 15.834 12.937 0.015 25.645 0.361 V
2457339.82310 2015-11-13.3203262 bg 1.49 15.850 12.859 0.014 27.561 0.354 V
2457339.82440 2015-11-13.321625 bg 1.44 15.882 12.958 0.015 25.143 0.344 V
2457345.79970 2015-11-19.2970709 bg 1.62 15.819 12.939 0.015 25.589 0.366 V
2457345.80099 2015-11-19.2983613 bg 1.67 15.828 12.889 0.015 26.811 0.365 V
2457345.80227 2015-11-19.2996386 bg 1.64 15.834 12.853 0.014 27.708 0.362 V
2457347.67216 2015-11-21.1695839 bg 1.51 15.674 12.785 0.015 29.521 0.419 V
2457347.67346 2015-11-21.1708847 bg 1.63 15.756 12.836 0.015 28.148 0.395 V
2457347.67474 2015-11-21.1721575 bg 1.62 15.696 12.812 0.015 28.767 0.412 V
2457348.51437 2015-11-22.0118109 bg 1.97 15.295 12.672 0.020 32.744 0.592 V
2457348.51565 2015-11-22.0130971 bg 1.96 15.333 12.569 0.017 35.982 0.579 V
2457348.51694 2015-11-22.0143840 bg 1.91 15.476 12.783 0.018 29.539 0.505 V
2457351.83783 2015-11-25.3353739 bg 2.24 15.150 12.356 0.018 43.815 0.713 V
2457351.83911 2015-11-25.3366574 bg 2.09 15.339 12.411 0.016 41.632 0.595 V
2457351.84041 2015-11-25.3379509 bg 2.19 15.373 12.354 0.015 43.882 0.596 V
2457354.80535 2015-11-28.3029925 bg 1.42 15.565 13.132 0.023 21.418 0.459 V
2457354.80665 2015-11-28.3042896 bg 1.40 15.631 13.071 0.021 22.675 0.434 V
2457354.80795 2015-11-28.3055890 bg 1.41 15.648 13.073 0.020 22.633 0.427 V
2457355.61685 2015-11-29.1145207 bg 1.45 15.826 12.983 0.016 24.566 0.361 V
2457355.61814 2015-11-29.1158127 bg 1.40 15.873 13.097 0.017 22.142 0.346 V
2457355.61942 2015-11-29.1170876 bg 1.39 15.840 13.064 0.017 22.820 0.357 V
2457360.72594 2015-12-04.2237856 bg 1.40 13.646 12.034 0.050 58.932 2.674 V
2457360.72722 2015-12-04.2250719 bg 1.53 13.012 11.400 0.050 105.630 4.797 V
2457360.72850 2015-12-04.2263520 bg 1.48 12.961 11.444 0.054 101.444 5.029 V
2457361.71863 2015-12-05.2165122 bg 1.39 15.867 13.075 0.017 22.579 0.348 V
2457361.71991 2015-12-05.2177953 bg 1.44 15.953 13.116 0.016 21.739 0.322 V
2457361.72119 2015-12-05.2190760 bg 1.39 15.954 13.100 0.016 22.074 0.321 V
#2457363.56326 2015-12-07.0612216 bg 2.40 99.990 99.990 99.990 99.990 99.990 V
2457363.56455 2015-12-07.0625085 bg 2.31 15.516 12.208 0.011 50.208 0.506 V
2457363.56584 2015-12-07.0638012 bg 2.37 15.459 12.172 0.012 51.902 0.540 V
2457367.74548 2015-12-11.2436059 bg 1.50 15.955 13.097 0.016 22.143 0.321 V
2457370.62101 2015-12-14.1192660 bg 1.41 15.914 13.013 0.015 23.901 0.333 V
2457370.62230 2015-12-14.1205523 bg 1.37 15.919 12.994 0.015 24.346 0.332 V
